JobKit,Category,DisplayName,SortOrder,Notes,
842-200200-SW014,SOFTWARE,LOAD AND VERIFY CLASSIFIED TSAS AND MDN SW,3,,
842-200200-SW005,SOFTWARE,INSTALL CLASSIFIED RFSDS SOFTWARE,1,,
842-200200-SW004,SOFTWARE,INSTALL CLASSIFIED IBR SOFTWARE,2,,
842-200201-SW023,SOFTWARE,INSTALL APT DB SOFTWARE,4,,
842-200200-SW003,SOFTWARE,LOAD AND VERIFY LDS SOFTWARE,5,,
842-200201-DCMA,SOFTWARE,DCMA VERIFICATION OF MTC SOFTWARE LOADS LESS LDS/CMCF AND AP,6,,
842-712901-FT007,HIRF,LRT TEST- RWR RADOME,2,,
842-712902-FT007,HIRF,JAPAN RWR HIRF,3,,
842-712901-FT015,HIRF,LRT TEST SQUIBS CDS GUILLOTINE,1,,
842-712902-FT013,HIRF,JAPAN SQUIB HIRF,4,,
842-FLTSQUAWK-COLLECTOR-EDC,FLIGHT SQWK,FLIGHT SQUAWK NCR COLLECTOR FOR EDC,,,
842-693351-ESSR001,FLIGHT,MIL HF LMI PREFLIGHT LMI,1,,
842-PREFLIGHT-STC-001,FLIGHT,,2,,
842-PREFLTLMI-STC-001,FLIGHT,,3,,
842-POSTFLIGHT-STC-001,FLIGHT,,4,,
842-PREFLIGHT-STC-002,FLIGHT,,5,,
842-PREFLTLMI-STC-002,FLIGHT,,6,,
842-POSTFLIGHT-STC-002,FLIGHT,,7,,
842-PREFLIGHT-STC-003,FLIGHT,,8,,
842-PREFLTLMI-STC-003,FLIGHT,,9,,
842-POSTFLIGHT-STC-003,FLIGHT,,10,,
842-PREFLIGHT-STC-004,FLIGHT,,11,,
842-PREFLTLMI-STC-004,FLIGHT,,12,,
842-POSTFLIGHT-STC-004,FLIGHT,,13,,
842-PREFLIGHT-STC-005,FLIGHT,,14,,
842-PREFLTLMI-STC-005,FLIGHT,,15,,
842-POSTFLIGHT-STC-005,FLIGHT,,16,,
842-PREFLIGHT-STC-006,FLIGHT,,17,,
842-PREFLTLMI-STC-006,FLIGHT,,18,,
842-POSTFLIGHT-STC-006,FLIGHT,,19,,
842-PREFLIGHT-STC-007,FLIGHT,,20,,
842-PREFLTLMI-STC-007,FLIGHT,,21,,
842-POSTFLIGHT-STC-007,FLIGHT,,22,,
842-PREFLIGHT-STC-008,FLIGHT,,23,,
842-PREFLTLMI-STC-008,FLIGHT,,24,,
842-POSTFLIGHT-STC-008,FLIGHT,,25,,
842-PREFLIGHT-STC-009,FLIGHT,,26,,
842-PREFLTLMI-STC-009,FLIGHT,,27,,
842-POSTFLIGHT-STC-009,FLIGHT,,28,,
842-PREFLIGHT-STC-010,FLIGHT,,29,,
842-PREFLTLMI-STC-010,FLIGHT,,30,,
